GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
com.itxiop.transport:jacoco-report-aggregate/hiring-challenge-boot,com.itxiop.transport,Application,5,3,0,0,2,1,1,1,1,1
com.itxiop.transport:jacoco-report-aggregate/hiring-challenge-boot,com.itxiop.transport.config,UseCaseProviderFactory,0,29,0,0,0,6,0,6,0,6
com.itxiop.transport:jacoco-report-aggregate/hiring-challenge-domain,com.itxiop.transport.domain.route.vo,RouteResult,0,9,0,0,0,1,0,1,0,1
com.itxiop.transport:jacoco-report-aggregate/hiring-challenge-domain,com.itxiop.transport.domain.vo,ShipmentStatusEnum,0,21,0,0,0,4,0,1,0,1
com.itxiop.transport:jacoco-report-aggregate/hiring-challenge-domain,com.itxiop.transport.domain.vo,TransportTypeEnum,0,27,0,0,0,5,0,1,0,1
com.itxiop.transport:jacoco-report-aggregate/hiring-challenge-domain,com.itxiop.transport.domain.exceptions,CoreRuntimeException,5,4,0,0,2,2,1,1,1,1
com.itxiop.transport:jacoco-report-aggregate/hiring-challenge-domain,com.itxiop.transport.domain.exceptions,ResourceNotFoundException,9,0,0,0,4,0,2,0,2,0
com.itxiop.transport:jacoco-report-aggregate/hiring-challenge-domain,com.itxiop.transport.domain.exceptions,DomainException,9,0,0,0,4,0,2,0,2,0
com.itxiop.transport:jacoco-report-aggregate/hiring-challenge-application,com.itxiop.transport.domain.usecase,LoadShipmentUseCaseImpl,0,12,0,0,0,4,0,2,0,2
com.itxiop.transport:jacoco-report-aggregate/hiring-challenge-application,com.itxiop.transport.domain.usecase,FindShipmentsUseCaseImpl,0,11,0,0,0,3,0,2,0,2
com.itxiop.transport:jacoco-report-aggregate/hiring-challenge-application,com.itxiop.transport.domain.usecase,PurgeShipmentUseCaseImpl,7,4,0,0,3,1,1,1,1,1
com.itxiop.transport:jacoco-report-aggregate/hiring-challenge-application,com.itxiop.transport.domain.usecase,FindShipmentUseCaseImpl,0,13,0,0,0,3,0,2,0,2
com.itxiop.transport:jacoco-report-aggregate/hiring-challenge-application,com.itxiop.transport.domain.usecase,GraphProcessor.CityStop,0,12,0,0,0,1,0,1,0,1
com.itxiop.transport:jacoco-report-aggregate/hiring-challenge-application,com.itxiop.transport.domain.usecase,GraphProcessor,8,276,1,17,3,50,2,11,1,3
com.itxiop.transport:jacoco-report-aggregate/hiring-challenge-application,com.itxiop.transport.domain.usecase,ProcessPendingShipmentsUseCaseImpl,3,210,4,6,1,40,4,10,0,9
com.itxiop.transport:jacoco-report-aggregate/hiring-challenge-infrastructure,com.itxiop.transport.infrastructure.apirest.mapper,RestShipmentMapper,12,91,6,8,1,24,6,6,0,5
com.itxiop.transport:jacoco-report-aggregate/hiring-challenge-infrastructure,com.itxiop.transport.infrastructure.apirest.mapper,RestShipmentMapperImpl,6,110,3,5,3,25,3,5,0,4
com.itxiop.transport:jacoco-report-aggregate/hiring-challenge-infrastructure,com.itxiop.transport.infrastructure.repository.route,RouteRepositoryFileAdapter,16,142,1,3,4,30,1,10,0,9
com.itxiop.transport:jacoco-report-aggregate/hiring-challenge-infrastructure,com.itxiop.transport.infrastructure.apirest.converters,MarshallingCSVConverter,171,0,14,0,28,0,14,0,7,0
com.itxiop.transport:jacoco-report-aggregate/hiring-challenge-infrastructure,com.itxiop.transport.infrastructure.repository.shipment,ShipmentEntityMapper,10,9,2,2,1,2,2,1,0,1
com.itxiop.transport:jacoco-report-aggregate/hiring-challenge-infrastructure,com.itxiop.transport.infrastructure.repository.shipment,ShipmentH2RepositoryAdapter,219,100,12,4,40,23,15,4,7,4
com.itxiop.transport:jacoco-report-aggregate/hiring-challenge-infrastructure,com.itxiop.transport.infrastructure.repository.shipment,ShipmentEntityMapperImpl,143,43,17,1,44,10,16,2,7,2
com.itxiop.transport:jacoco-report-aggregate/hiring-challenge-infrastructure,com.itxiop.transport.infrastructure.apirest.controller,ShipmentsApiController,12,37,0,0,4,10,2,3,2,3
com.itxiop.transport:jacoco-report-aggregate/hiring-challenge-infrastructure,com.itxiop.transport.infrastructure.repository.city,CityRepositoryH2Adapter,13,0,0,0,4,0,3,0,3,0
com.itxiop.transport:jacoco-report-aggregate/hiring-challenge-infrastructure,com.itxiop.transport.infrastructure.repository.city,CityRepositoryManagerAutoConfiguration,6,11,0,0,1,3,1,3,1,3
com.itxiop.transport:jacoco-report-aggregate/hiring-challenge-infrastructure,com.itxiop.transport.infrastructure.repository.city,CityRepositoryFileAdapter.new TypeReference() {...},0,6,0,0,0,1,0,1,0,1
com.itxiop.transport:jacoco-report-aggregate/hiring-challenge-infrastructure,com.itxiop.transport.infrastructure.repository.city,CityRepositoryFileAdapter,0,52,0,0,0,10,0,6,0,6
com.itxiop.transport:jacoco-report-aggregate/hiring-challenge-infrastructure,com.itxiop.transport.infrastructure.repository.city,CityEntityMapperImpl,51,3,6,0,14,1,5,1,2,1
